,What class does the SI leader support?,Is this a full observation or coaching session?,What did you discuss with the SIL?,"If the SI Leader ran an activity for you, what were areas of strength and for improvement during that activity? (Please also put notes on these areas into their observation/self-reflection sheet.)",Additional Comments:,Session Requirements: [Session plan utilized (as far as you can tell)],Session Requirements: [Agenda displayed/shared],How was the session opened?,Which collaborative techniques did the SI Leader use during the session?,Space use: what was the structure of the room and its purpose?,The SI Leader... [Uses a variety of collaborative techniques & learning activities],"The SI Leader... [Uses activities that serve a broad range of learning styles (visual, auditory, kinesthetic)]",The SI Leader... [Includes or mentions study strategies or tips],"The SI Leader... [Redirects a majority of questions (to a student, the group, or source materials)]",The SI Leader... [Breaks down large concepts without re-lecturing],The SI Leader... [Allows students to process question or prompt before providing insight (wait time)],The SI Leader... [Consistently and effectively checks for understanding],"The SI Leader... [Actively encourages student interactions by moving around the room, having students scribe, break-out groups, etc]",The SI Leader... [Makes sure information is correct],The SI Leader... [Balances having a productive and flexible session],What are areas of improvement or strengths for the SIL from above?,Rate the SI Leader on the following: [Demonstrates respect for all students],Rate the SI Leader on the following: [Makes an effort to connect with all students],Rate the SI Leader on the following: [Fosters a comfortable learning environment for all students],Rate the SI Leader on the following: [Praises & encourages students for their contributions],Rate the SI Leader on the following: [Knows and uses the students' names],Rate the SI Leader on the following: [Behaves in a professional manner throughout session],Rate the SI Leader on the following: [Models excitement for the subject],Rate the SI Leader on the following: [Greets and actively incorporates all students (including late comers) into the session activities],Rate the SI Leader on the following: [Most people participated in the session],"Rate the SI Leader on the following: [Learning was student led (for example, SI participants hold the marker more than the SI Leader).]",What are areas of improvement or strengths for the SIL from above?,How many students were present in the session?,How did the session close?,Overall areas of strength for SI Leader. (Please copy your answer below into the email you send to the SI Leader.),Overall areas of improvement for SI Leader.  (Please copy your answer below into the email you send to the SI Leader.)
,CHMG 141,Full observation,,,,Yes,Yes,"Top 5: top 5 places to eat on or near campus, top 5 things to do between classes, top 5 hidden study spots on campus, top 5 ways to procrastinate",Gallery Walk,Promoted collaboration,Yes,Yes,Somewhat,Yes,Yes,Somewhat,,Somewhat,Yes,Yes,"SIL could work on using wait time for slightly longer when asking students questions. I liked the opener involving study spots on campus, maybe there's a way to tie in some study strategies with that, ex asking what types of learning spaces promote learning (collaborative, whiteboards, quiet, etc). Suva could also work on moving around the room more, especially when students are working at the whiteboard.",Yes,Yes,Yes,Yes,Somewhat,Yes,Somewhat,Yes,Yes,Yes,"It's early in the semester and this was a huge session so this is super nitpicky, but knowing names is always good. A strategy I use to remember students names is calling them by it and addressing them often, and also looking at the attendance sheet to see the spelling. ",13,Kahoot to review concepts learned in the session,This session was very well planned to encourage collaborative learning. The room setup was great and I loved that you forced students to condense into only a few tables so everyone was working with a group. Everyone was chatting and working together the whole session which is awesome! You also did a great job redirecting questions and ensuring the session was student-run. I really liked your opener!,"This was a great session so these suggestions are very nitpicky, but I would suggest walking around the room more is possible. It can feel kind of awkward but it makes it feel less professor-ish compared to standing at the board. Also incorporating study strategies into later sessions could be a good opener/closer. "
,MATH-171,"Coaching session (i.e., no students have shown up in the first 15 minutes)","Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Collaborating with professor to gain ideas for their session, Weekly emails","SIL is doing everything right!!! This is her second no-show, but she has great energy about it all. She has been doing a lot of marketing, emails, and talking to her professor, but her class is pretty small (only 19 people) so she was expressing difficulty in getting students to come. Vaidehi and I were there at the same time (she was doing a walkthrough) so she showed us both her session plan. We went through it all and all her activities seemed really fun; I'm so sad she didn't get to run them with her students!! Overall, she's doing everything right and all of us (me, her, and Vaidehi) were optimistic that she will get more students in the coming weeks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CHMG.141,Full observation,,,,Yes,Yes,The session was opened with a review of molar mass. There were a few warm up questions which the students did independently and then ,"Group discussion, Individual Presentations",Promoted collaboration,Somewhat,Yes,No,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,"The SIL had some good activities, including practice questions and a brain dump. For the practice questions most of the time students were working independently on the questions and then discussing/writing out answers after as a group. While this is good, incorporating small groups, clusters or think...pair...share would be good way to mix it up and get students to collaborate even more. She got all students participating and engaged which was great. She also made sure to check for understanding with the thumb method. It would be great if she could try to incorporate another method for checking for understanding such as having students explain concepts that were covered. I think students could also be up at white boards even more so its more student centered. ",Yes,Yes,Yes,Yes,Somewhat,Yes,Somewhat,Yes,Yes,Somewhat,"The SIL did a great job to ensure that all students were greeted as they entered, joined a table at the front and were caught up on what was going on. She was very professional, supportive and encouraged all students to participate. Students were all very engaged and there was a good student turn out. There were a few times when students could have been up writing things out on whiteboard to make it more student led. ",12,The session ended with a globe/country trivia game ,Nice job! I really liked how you greeted all students as they came into the room and made sure it was set up for collaboration. You were very professional and personable. The students were engaged and I liked the encouragement you gave to foster participating/collaborating. The session flowed nicely with content and had a pretty good variety of activities. Nice use of wait time! ,"Overall, very good. I liked the various practice questions you had during this session, however I would suggest that you try to utilize different types of clusters, group/partner work so that students are working with each other more. I did see you check for understanding using the thumb method which is great, maybe try to incorporate one other way to check. You had the students up during the brain dump, maybe try to have them using white boards even more- to encourage working together to solve the practice problems. Also try to redirect all questions if possible! "
,CSCI-140,Full observation,,,,Yes,Yes,"Troubling Topics Within the course, which were a group discussion which I also participated in giving my input on what topics I had when I took my intro to programming class.","Group discussion, Round Robin, Gallery Walk, Group Problem Creation",Promoted collaboration,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"They did just one activity, maybe having more variety. However, it was good, to pair up in groups and solve each other's problems in topics they were struggling with. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Did amazing, everyone felt comfortable as well as everyone was talking with each other. as well as took feedback on how people felt on the activity they did.",5,SI leader took a poll on how people felt on the activity to get feedback on if they liked the activity.,"Great session, everyone felt comfortable talking to each other, no one seemed to be left out.","Variety of activities, although great activity by having students make their own problems and having each other solve it, but could throw in maybe collaborative review briefly before going straight in to the content."
,MOPS,Full observation,,,,Yes,Yes,Spotle,There was only one student,Promoted collaboration,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"SIL did a great job giving the student enough time to think about the problem (wait time). The activities also had the students moving around the room, first activity was matching post-it notes with terms and definitions, second activity was looking at code on the whiteboard. She redirected the student to their notes whenever they didn't know an answer, or used things the student said previously as examples (like when the student mentioned buffer overflow earlier in the session). ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unsure,Yes,Somewhat,"SIL was very supportive when the student didn't know the answer, saying, ""That's alright! Do you have the answer in your notes?"". During the second activity while they were fixing the code, the student was coming up with the fixes, but SIL was the one writing the fixes. Ideally the student should be writing most of the stuff on the board during the activity.",1,"After the third activity, no closer","I liked how you had the post-it matching activity, it made it so not every activity was coding on the whiteboard. You had great redirection, like telling the student to check their notes whenever they didn't know an answer, or using things the student said previously as examples (like when they mentioned why strcpy was less safe than strncpy earlier in the session). ","During the second activity while they were fixing the code, the student was coming up with the fixes, but you were the one writing the fixes. Ideally the student should be writing most of the stuff on the board during the activity. During the third activity you were starting to lecture a little bit while you were trying to explain the byte alignment. My advice for fixing that is to try to have the student holding the marker as much as possible."
,MATH-171,Full observation,,,,Yes,Yes,The session was opened with a fun debate over fries vs mashed potatoes. ,"Group discussion, Clusters, Round Robin",Promoted collaboration,Yes,Yes,No,Somewhat,Yes,Somewhat,Yes,Yes,Yes,Yes,"The SI leader did a good job of having activities that were student centered and encouraged collaboration. I liked the flow of the session and various activities. 
Having students work in pairs, and switch who writes/who scribes is a great way to check that students understand the material. Also did a pretty good job of checking for understanding throughout.  
The SI leader did redirect most questions, but could improve on wait time a little. ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"The SI leader was enthusiastic and fostered a positive learning environment during this session. She got all the students to participate and it was very student centered, with students holding the marker for much of the session. Students seemed comfortable with the SIL as well as each other. She knew students names and made an effort to connect. I liked that there was a overarching theme of the session. ",4,the session closed with geoguesser which was a fun interactive game to figure out where in the world you were ,"Great session. It was a super fun and useful review. I liked how the activities chosen emphasized collaboration among students. You did a great job ensuring it to be student centered with no re-lecturing! Your students were engaged and participating. You did a good job creating a positive, comfortable learning environment. ","Overall very good session. For improvement I think you could ensure to utilize wait time and try to redirect all questions when possible. You did this for most questions, really just try to see if any other students can answer a question before you step in. Also try to give students a moment to think before responding. For future sessions also try to set the room up even better for collaborating or ask students to sit near front/ next to one another opposed to spread out."
,ECON-101,Full observation,,,,Yes,No,"There was no clear opener for the session and the agenda wasn't up on the board. SIL just went straight into having students describe topics in econ, such as supply and demand. ",Calling out individual people to answer questions,Promoted lecturing,No,No,No,Yes,Yes,Yes,Somewhat,No,Yes,Yes,"The SI should have an opener to get students warmed up to the session and get to know each other. The students were also all sitting down in a lecture style spread throughout the room. I would have either students stand up and be on the whiteboard or join desks and make a group table to facilitate collaboration.  There were only 2 activities done in the session: 1) having students describe econ topics and 2) having students guess his hangman words. The students were sitting down the whole time, and a variety of activities would have served a more variety of learning styles. ",Yes,No,Somewhat,Yes,Yes,Yes,Yes,No,No,No,"The SI leader had a great session atmosphere. He knew students' names and the session atmosphere was very laid back. The students seemed very comfortable with him. However, he was mostly talking and directing the session to one student, and the other two were not as engaged. The other two students seemed more shy, but he never made an effort to incorporate them in the session. It is critical to make an effort to connect with ALL students, not just one!",3,"There was no closer. After the hangman activity (where SIL held the marker the whole time and the students guessed the word), some of the students asked questions about the class, and the students left. ","You did a really good job learning and using students’ names, which made the session feel more personal. The atmosphere was great, and students seemed comfortable participating. I liked how you used candy as an incentive; it was a fun way to market and get students engaged. You also redirected questions really well to get students thinking, and you gave good wait time so they had space to work through their answers.","It would help to make the opener and closer more clear, since the session felt like it started a bit abruptly and ended without a clear wrap-up. Putting the agenda on the board at the beginning would also give students a sense of what to expect.

One of the main areas for improvement is making the session more collaborative. For example, instead of running the hangman game yourself, you could have students create the words and quiz each other. Another simple change would be letting students take turns holding the marker rather than keeping it yourself. This would encourage more active participation and make the session feel more student-led.

I also noticed that most of the participation came from one student (in the red shirt), while the other two were focused on other work. You can always remind students to stay engaged and try to draw them in by asking them directly or by assigning them small roles during the activity."
,CSCI-141,"Coaching session (i.e., no students have shown up in the first 15 minutes)","Marketing that works well for you vs what they're trying, Strategies to connect with students, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Collaborating with professor to gain ideas for their session, Weekly emails, Other","SIL ended up running his coding activity with me after going through his session plan and getting feedback on it. Overall I think it was very well done, the activity idea itself was solid and did a good job connecting practical coding applications to the conceptual review activity earlier in the session. Wait time was very strong, and he knew good times to redirect when I wouldn't answer a question. I also liked that he'd choose to look up a question when not 100% sure on the answer, admitting when you aren't confident on a specific piece of information instead of guessing is extremely important. Marketing strategies seemed to be good, just remember to mention sessions when helping students in-lab.","This seems to be the second observation SIL has had a no-show. Should there be an additional mentor observation booked for him, or wait until the peer observation?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MATH-171,Full observation,,,,Yes,Yes,Via having the student demonstrate what was learned in class and do a practice problem. I wasn't really clear if this was an opener or not until I talked to her after the session; where she clarified that she likes to have openers bleed directly into the content. ,"Turn to a partner, Think-Pair-Share, There was only one student, so it mostly consisted of her getting the student to explain their thought process",Promoted collaboration,Somewhat,Somewhat,Yes,Yes,Yes,Yes,Yes,Somewhat,Yes,Somewhat,I'm a huge fan of practice problems on whiteboards; despite having only one student she did a great job of having the student talk through their reasoning and encouraging class recall.  ,Yes,Somewhat,Yes,Yes,Somewhat,Yes,Somewhat,Yes,Yes,Yes,"She was very low energy, which is fine when the students are also low energy, but I got the sense that bringing more personality and energy to it would have helped further engage the student she had. I also feel that a game style opener or closer could've helped with that. But she still did a good general job during the content activities of staying on topic and was clearly experienced with the SI facilitation strategies. ",1,"According to the agenda, it was recap; in practice it was like quick final questions. ","Excellent with the facilitation strategies, I liked how she got the student to talk through his processes and recall from class. ",It could have benefitted from more energy or variation in activities; and reminder to have a clear opener and closer. 
,MATH-171,Full observation,,,,Yes,Yes,"The session was opened with a brief review of reciprocal function graphs on the board, where the student finished drawing them.","Group discussion, Clusters, Turn to a partner, Individual Presentations",Promoted collaboration,Yes,Yes,Somewhat,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,"SIL did a fantastic job keeping the session collaborative and between the two students! He was consistently encouraging them to share ideas and call each other out when something didn't look right. He also did a great job not lecturing, and let the students work through things on their own. The only thing I'd recommend is for him to give them a bit more wait time. Both seemed eager to contribute, and if he redirected a few more questions or let them chew on it for a while, I think the session could be significantly more student-led. ",Yes,Yes,Yes,Yes,Somewhat,Yes,Yes,Yes,Yes,Yes,"Both of the students seemed comfortable and casual around SIL, they looked like they were having fun! I really liked how quickly he integrated the latecomer right into the activity, passing over the marker and having them take a crack at the simplification problem. He gave good advice on classes while still getting back on topic easily. My one main area of improvement would be for him to have a bit more variety in your session activities. While whiteboard problem solving works great for small groups, he may want to prepare activities that can work for larger groups around exam time. ",2,Ask if students have any questions,"You did a fantastic job keeping the session collaborative and between the two students! I loved how you were consistently encouraging them to share ideas and call each other out when something didn't look right. You also did a great job not lecturing, and let the students work through things on their own. I also thought you had really good session energy, with both of the students seeming comfortable and casual. I really liked how quickly you integrated the latecomer right into the activity, passing over the marker and having them take a crack at the simplification problem. Overall, a really good job!","The main thing I'd recommend is to utilize wait time a bit more. Both students seemed eager to contribute, if you redirected or waited a bit longer, think the session could be significantly more student-led. I'd also recommend have a bit more variety in your activities than whiteboard problem solving. While it works great for small groups, around exam time you may want to plan around larger sessions (where more than one person can solve the equation at a time). I'd also recommend keeping a closer eye on the time especially for observations, as the session went a good amount overtime. "
