,"What are your thoughts about the opener, activities, and closer?",Describe how the SI Leader interacted with the students. How did they foster a comfortable and productive learning environment? ,Describe one thing the SI Leader could work on improving?,Describe one thing the SI Leader did very well.,What general feedback would you like to share with the SI Leader?
,"I found the opener very fun, and I might try it in one of my sessions. The activities and closer were good, I like how he went deeper into virtual memory mapping and had them do the mapping themselves, because that likely gave a deeper understanding of it than if they only talked about the concepts of how it worked.",Teddy fostered a comfortable and productive learning environment by being personable and respectful.,"I think Teddy's session was great, the only thing I can think of is that a sometimes when the students would say the right answer, he wouldn't explicitly say they that they were correct, so there might have been a little confusion for a moment.","Teddy checked for understanding very well in his activities by making sure they not only got the right answer, but understood why it was right. And he'd ask follow up questions when it seemed like they may not fully understand.",It was a great session and it was a pleasure observing you!
,"The activities have a lot of variety in terms of content coverage and go very in depth/cover different skills (eg. coding, debugging, guess the output). Good improvising once the activities were gone through faster than planned (went over vocabulary, coding practice). Would like to see more variety in types of activities (using more than just their laptops, maybe paper/whiteboards/kahoot). Great closer - makes future session planning easier for sure.","Even if it was just one student, it was a very well run session. Joined the student to form a cluster so they wouldn't be doing the work on their own, knew their name, was very encouraging when they made a mistake/didn't understand, and adjusted the session to match their pace. ","Try to redirect them before explaining; in one case the student asked what something does, and while they did wait a bit before explaining, it would've been better to have them check their notes/encourage them to figure it out themselves/make them re-explain the concept back to you in their own words. ",Explaining a strategy they like to use for problem solving (eg. when he explained how he solves conditional problems) and checking for understanding afterwards by asking follow up questions. ,"Overall, great session; the student was engaged, they were doing most of the work, they seemed to be understanding, and the problem solving strategies you were sharing will definitely help them in the long run. For future sessions, I would try to use whiteboards/material outside of the laptop and redirect them to their notes before explaining and plan for 50 minutes, not the full hour."
,"The opener was very brief, likely due to the reason that his student came about 5 minutes late. They had a short discussion and then went right into content activities. The first content activity was very straightforward as it was doing math problems on the whiteboard which was clear from the activity name. The SI Leader then moved onto his Kahoot as his next content activity that he did not make so there were some slight issues here and there. The closer seemed to be another conversation with how the students feel about the exam and also lead to another problem on the board.","The SI Leader addressed the student by his first name. The SI Leader talked about the student and his specific experience with the class. The SI Leader also asked his student to move to the front of the room when he tried to sit on the far side of the room. The SI Leader was able to seamlessly bring in a late student when she arrived and have her join in the content activity pretty much right away. I thought it was interesting how the SI Leader had one student check for mistakes of another during his content activity, this demonstrates a high level of trust he has created in his sessions.","The SI Leader could have used a little more wait time with his student as he tended to ask redirecting questions rather fast if the student did not answer right away. If I am not mistaken, this would be wait time 1 specifically the SI Leader could improve upon. Finally, the SI Leader could work on ending his sessions on time being at the 50 minute mark to allow for time to clean up.",The SI Leader did a good job at checking for understanding by asking his student how he felt about the work he did rather than saying if it was correct or not. The SI Leader also did a good job at redirecting questions back to his student to guide the student along with his understanding. The SI Leader did a great job at not alienating a late student and integrating her into his session as if she was there from the beginning.,"The SI Leader clearly knew his subject and did not allow his student to work too far in the wrong direction. The SI Leader may want to consider taking pictures of his student's work to add to his session plans and track learning progress. The SI Leader has done a great job at building trust with his students as they felt comfortable working with him. I also recommend that the SI Leader do higher engagement activities for the opener or closer, or at least define the activities on the agenda a little more."
,"The exam brain dump/cheat sheet creation was a really good way to get students feeling more confident in their knowledge. Working on the review worksheet in clusters is a really good activity for a pre-exam session. The closer being a fun activity is my preferred way to hold sessions, so I think SIL did a really good job with the way she chose to structure things. She didn’t have time to get to the closer, but I think because the students have an exam so soon, that’s okay, as they would probably prefer to spend more time focusing on the content.","She started off by having some small talk with students as they were getting settled into session, which definitely personalizes the experience. I like that she migrated around the room to check on student progress during the opener and worksheet.  ","SIL did jump in to tell students if they were wrong or right once or twice and she could possibly work on having students consult with each other before answering questions that the students themselves are unsure of. Eventually, when the room got more talkative, students did this on their own, which was really great to see, but if she could somehow facilitate them to talk to each other about questions and confer on answers, that would be really in line with the SI principles. ","SIL has good relationships with her students and her co-lead. She actually utilized her co-lead to her benefit, asking questions when she was unsure of something and conferring to ensure she was giving students correct information. It was obviously her session, but I like that she actually utilized her relationships to make the session better for students. I also like that her session felt like dedicated work time for the exam. I think the way Suva operates during her sessions makes them more helpful to her students.","Hi SIL! I think you’re naturally a really good SIL. I think this style of session works really well for an exam review session. I also liked that you encouraged students to work in clusters but still understood that for exam prep, they would most likely want to work on their own because they take the exam on their own. I also liked how you gauged students' feelings on the exam before the session (you reminded me to add this to my own session). Generally, the only thing I think you could have worked on was defaulting more to having students answer each other’s questions first during the opener and during the practice problems. Besides that, your session was clearly well-planned. I love the style of keeping the first part of session more content-focused so that by the time students are tired of having to focus, they can do a more fun activity. Amazing job today, keep it up:) "
,"The opener is very fun. It was an online game where there are multiple stars on a graph. players are given a function, and they must change at least one number in the function to have the line go through the stars. This is a great math related game that helps students to visualize the domain and range of functions in a fun way.

The first activity was a brain dump. Sydney had the student write down all the derivative rules that they could remember. Sydney would point out when the student made a mistake and would wait for the student to realize their mistake. She let the student know that they could refer to their notes SIL was very personable and friendly to the student. She fostered a positive environment for learning.

The second activity was a series of practice problems. Sydney employed great wait time while letting the student solve the problems. Sydney never gave the student the answer, she would always ask the student a question to get her to think about her answer.

For the closer, they played wordle and nerdle. Nerdle a fun math related game. And the student seemed to enjoy it.","SIL had one student, so the interactions were personal, Sydney would never do problem for the student she would just guide the student towards the answer by using hints and thought provoking questions ","N/A, she did a phenomenal job",She employed great wait time. She answered all of the student's questions with another question and helped them discover the answer on their own.,SIL handled her session very well.
,"The session was planned very well, the activity had a lot of effort put into well crafted practice questions given to the students to work on during the session. The questions went over the course material thoroughly and mimicked what the students would see in the classroom. ","The SI worked very well, making sure the students were tended to when needed, but gave them ample time to work through the activities on their own. They made sure to ask more questions than give answers and checked for a periodic understanding through this questioning.","The SI while is consistent with deflecting questions can work on wait time. The students, even while not looking for an answer still need time to think before another question is thrown at them. ","The SI was very good at expressing themselves throughout the session and gave off the impression that they both, knew what they were doing, and were prepared for it. The SI leader conducted themselves in a wonderful manner that’s let the students build on their skills through the activity without external help, but rather guidance.","The overall session went well, although it’s hard when trying to give students time to answer instead of thinking about the next question to ask them, count in your head. If there still not getting it after some more time, then think of the question and that should end up giving them more wait time to decipher the answer themselves."
,"SI Leader skipped the opener since students came in late. SI leaders had a cipher game planned out, but unfortunately only one student showed up, but the SI leader did a great job at transforming that activity into a whiteboard activity that also helped the students to review about cipher. SI leader did a survey about feedback on SI session for closer, which I think is great to know what student like. ","SI leaders chat about the class and exam in a casual way with the students, and shared his own experiences of taking exams. This makes the SI feel more like a ""Student"" not a ""Faculty"", which I think will make students feel more comfortable in the session. ",I think the SI should do more check for understaffing during the session. ,"I like how the SI leader guide students step by step through a question instead of giving the answer directly. Also the SI handed over a marker to the student and make her go to the whiteboard to solve a problem, this ensure student have a chance to do the questions by themselves. ","The content activities was well-planned out. I like how you interact with the students, making them feel friendly and comfortable in session. I think you did a great job at guiding the students through practice problems, but I think you should also incorporate some sort of check for understanding within the activity. "
,"I think the opener was very creative in that a ""spot the error"" puzzle example was introduced to explain the concept and usage of ciphers. This seemed more helpful than jumping straight into having students practice solving a cipher. The activity was to have students look at an error function where an outOfBoundIndex would be reached and false concatenation of a string and integer value occurs. I think was a good connection between real world puzzles to code puzzles and greatly helps student practice debugging skills. The closer was also interesting where we plaed NYT pip. Though it wasn't a code based activity, I think it was a great closer to wrap up and held the focus of the session that ciphers are essentially just puzzles that encrypts a message or passcode.","The session was a no-show but I would predict the session would have created a very comfortable and productive learning environment. When Mohamed walked through his session plan with me, he showed very positive energy and spoke in a tone that makes me feel he understands very well what he was teaching.",Mohamed can create a slideshow or a table of contents to display on board as the session is running. It would help students know what is expected on the day and can help students who came late catch up with the class. It would also be a great way to organize the structure of the session in more details than the session plan google docs.,Mohamed definitely made the session very interactive and fun. The overall atmosphere didn't feel like a tutoring or lecture session and it encouraged learning through fun methods. I can sense that implementing games into SI sessions is his main strategy and it is working out very well.,"Overall, Mohamed's sessions were very welcoming, fun, and very helpful in helping students reinforce understanding of the class materials. It's great that he intentionally give trick questions to have the students think critically. If the sessions kept the same style as it is right now, students would definitely come more frequently but only if they had attended at least once. Mohamed can try new advertising strategy other than just emailing. Strategies such as offering snacks and java tokens would boost attendance and help keep students coming regularly. "
,"I thought the opener was a little basic since it was just asking about the weekend. Her activities were really strong and very interactive, and they checked the student’s understanding well. It was clear she put in a lot of effort, with printed activity sheets and a slideshow to support the session. Even though she didn’t get to the closer, based on the other activities and how the session went, I’m confident it would have gone well. The closer was a brain dump, and I felt the student would have left the session confident in what he learned today.","I think she interacted with the student really well and brought great energy to the session. She had a high spirit and was very kind with the student. Even when the student was stuck on problems, she stayed patient and guided them through each step. This created a comfortable and productive learning environment.","The SI leader could have had a stronger opener to better engage the group right away, but the four activities she included really helped keep students involved and made the session interactive. The different activities also showed good preparation and kept the pace moving. Overall, I think she did really well and created a supportive environment where students could practice and participate actively.","I really like how the SI leader adjusted her session for her regular student. When the student was stuck, she didn’t just give the answer but helped guide them to it. This made the student think more and feel more confident. It showed she understood the student’s needs and could explain things in a helpful way.",The general feedback I would share with the SI Leader is to keep doing what you’re doing. Amina did a great job checking for understanding by asking the student to solve the question and tell them explain how they got the answer. 
,"
Opener: Dream American Vacation
Fun concept! Not material related, gave students an opportunity to just think and share in a fun way. But then, it turned into math by connecting the points. Super clever. That's a fun way to review the definition of differentiability with students. 

Activity Derivative rules that you know (testing knowledge):
Good way to get students thinking and working on important recall
Asking why and checking for understanding w/ student questions, letting students answer

Activity Derivatives Practice:
Good variety of examples that flowed nicely
Redirected questions by letting students think towards answers, just gentle suggestions
Supporting questions to help understanding were great
Asking students to explain their answers to other students, helping both
""Summarize the process for how you did this"" I love asking students that

Closer:
N/A","Casual, very relaxed. Minimal distractions to support focus on the material. Fun banter.","Occasional direct corrections, it may be more helpful to let students make mistakes and let them figure out what they did wrong, you sometimes would say things like ""so you didn't use the correct rule for this part"" or things like that
I might say something like ""is this correct? How do you know? Which rules did you use to get this?""","Session was incredibly solid in a lot of ways. Super fun opener that tied in review, I loved that, good use of the SI Model during review activities. Great relaxed vibe. ","Great work this was an awesome session! If I have any criticism I would just say to ask students to justify their answers more to make sure they understand what it is they're doing, but even that you did very well on. "
