,Class that the SI Leader Supports,Number of Students in Attendance:,Which portion of the session did you observe during this walkthrough?,"While observing the session, did you observe any of the following? Check all that apply.",What did the SI Leader do well?,What could the SI Leader improve?,What yellow/red flags did you notice?,What did you discuss with the SIL?,"If the SI Leader ran an activity for you, what were areas of strength and for improvement during that activity? (Please also put notes on these areas into their observation/self-reflection sheet.)",Additional Comments:
,CSCI-141,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Talk about what their session plan was and provide feedback (positive and constructive), How to collaborate with their professor to promote SI, Collaborating with professor to gain ideas for their session, Weekly emails","The SI Leader ran the session plan through it with me, and his activities were very thought-out and planned. He had two truths and a lie for an opener, a round robin of vocabulary words for content. He also had some practice problems that were covered in class. The closer was some announcements and reminders about the class. ","SIL showed me the marketing emails he has been sending to the class. I suggested adding memes to make the emails more engaging and incorporating color to encourage students to read them. We also discussed making another class announcement and writing the SI session times on the board to grab students’ attention. He has submitted marketing materials for stickers and candy, which shows he is putting in strong effort to attract students. He also had the room set up in a large rectangle, similar to the layout at training."
,GCIS-123,2,Closing,"SI Leader is prepared for the session, SI Leader is approachable, All students are engaged/involved in the session, Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive","SIL blended in well with the group by sitting at the table with the two students, making it difficult to distinguish who the leader was, which fostered a collaborative environment. Jingsong also used effective redirecting questions and allowed good wait time for students to think. ","Always write the agenda on the board! Students appreciate seeing the session plan on the board, as it helps them know how the session is structured and what to expect. It also seemed like there wasn’t much collaboration, since everyone was on their own laptops coding. I know coding can make group work challenging, but I suggest trying activities on the board or having students work together on the same laptop could help encourage more collaboration. You could also project code on the board and have the students work from there. ",,,,
,PHPS-106,10,Opening,"SI Leader is prepared for the session, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","SIL is great at creating a positive session atmosphere. All the students were engaged and participating. I love how much effort you put into getting to know your students, asking them about their weekends. You are great at incorporating other students when they come late by keeping them informed about what is happening.  I love how you had a notes organizer activity so that students can have all their notes in one place. ","Put the agenda on the board, and keep up the good work!",,,,
,MOPS,1,Opening,"SI Leader is prepared for the session, SI Leader is approachable, All students are engaged/involved in the session, Time is managed effectively, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader discusses, promotes, or models effective study strategies, The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","She was very encouraging, and did a good job redirecting (especially to class notes) :)","I did have to remind her to put the agenda on the board (although the other setup on the board was great!); and although a bit niche, I'd also like to recommend paying attention to the lighting in atmosphere creation because it was a bit dark in the room.",,,,
,CHMG-141,6,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, All students are engaged/involved in the session, Powerpoint is kept to a minimum, The session is student-centered (the SI Leader is the guide-on-the-side), An opener and closer were included","SIL did a great job, especially considering this was her first session. She started with the opener “connections,” where students paired up and found six things they had in common. This was a strong choice because it helped students feel comfortable and created a welcoming environment. I love how you did a warm-up of dimensional problems to ease the students into the content.","One area for improvement is building more personal connections with students. In the first few minutes before the session begins, try chatting with them about their week or weekend. This helps students feel welcomed and encourages them to come back. Also, don’t be afraid to project your voice more and show confidence. Speaking with more energy and confidence will also make the session feel even more engaging!

For the dimensional analysis warm-up, students weren’t collaborating much. To increase interaction, you might try a “think-pair-share” activity with partners or write parts (a, b, c, d) on the whiteboard and have students come up to solve them. This way, students will be more engaged and talking through the problems together. You could also assign each student one problem, and then have them explain how they did it to the group.",,,,
,CSCI-243,5,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","It was a very collaborative atmosphere and it was all students working on the board. (congrats on getting so many people, especially only second week of sessions!) He also gave a very balanced amount of guidance vs challenging them further for each problem. ",I did notice the team of 3 students was a lot more talkative and engaged than the team of 2; he did a great job of trying to guide them more when necessary but I would recommend mixing the teams up throughout the session when that doesn't work (and also just as good practice!) ,,,,
,MATH-171,3,Middle,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","SIL did a great job keeping all of the students engaged throughout the session. All three students were actively involved and talking with each other, which created a collaborative learning environment. You also created a comfortable atmosphere that made participation easy and natural. I really liked how you checked for understanding by looking at what the students wrote on the table. It was great to see that the students left the session with a solid understanding of the material.","One small area for improvement is to allow a bit more wait time after students ask questions before answering, giving them a chance to think and respond. Aside from that, it was a solid session!",,,,
,GCIS-123,1,Opening,"SI Leader is prepared for the session, SI Leader had an agenda on the board, SI Leader is approachable, SI Leader is using collaborative techniques, All students are engaged/involved in the session, Strategies used promote interaction among students (vs dominance of individualized work), Time is managed effectively, Powerpoint is kept to a minimum, SI Leader checks for understanding among students, SI Leader demonstrates adaptability and flexibility when needed, The session is student-centered (the SI Leader is the guide-on-the-side), The SI Leader sets a tone that is both comfortable and productive, An opener and closer were included","SIL did really well in her session. Even though there was just one student, she handled it great. I liked how she let the student choose which activity to start with. She did a good job redirecting questions and giving some wait time, and she checked for understanding by watching the student work on the board. Nice job!","On the agenda, it helps to label each part as opener, content, and closer so you know which activity is which. Just in case you didn’t know, the tables in the room are also whiteboards, so students can write on them too! ",,,,
,MATH-101,6,Opening,"SI Leader is approachable, The SI Leader discusses, promotes, or models effective study strategies","I did like the content idea, the given hints were spaced out well and quizzes are great practice. Also, I imagine the marketing must be pretty good since she got 6 students. ","She should work on preparedness pretty significantly; some students arrived before she did, she got the room number wrong, and she did not write the agenda or anything on the board even once she did get in the right room. Additionally, it felt like a TA session; all the students were working in quiet apart from one another, and there was no opener or closer. ","I am hesitant to call it a yellow flag, because it's not as though any students were made uncomfortable or anything, but the session did not really feel like SI at all. All the improvements listed above demonstrated enough misunderstanding of SI that I do feel it needs extra pointing out that she should restructure a bit. ",,,
,GCIS-123,0,No-Show; One-on-One Coaching with SI Leader,,,,,"Marketing that works well for you vs what they're trying, Strategies to connect with students, Collaborating with professor to gain ideas for their session, Weekly emails","Zifeng did a great job walking through his session plan and keeping things organized. His spot the error coding activity was a really good way to check if students were understanding the material, and his emails were fun and interactive with things like memes. He’s also thinking ahead about how to get students to come to the sessions by talking to them directly. One thing that could help even more is adding little incentives like candy, stickers, or an extra practice exam to get more people to attend. We talked about using a mix of approaches to get students to come to the sessions. ",
